name,min,max,mean
chunk_index,0.0,0.0,0.0
!UNRECOGNIZED,0.786820752,42.78288352,3.297987264549535
!UNTAGGED,17.36741519,37.32047384,25.594999499806534
!BLACKLISTED,0.0,0.0,0.0
AbstractConcepts,1.277955272,9.419054352,2.324609445220586
Acknowledge,0.0,0.422180726,0.07640489103792572
Anger,0.0,0.892805714,0.24426122051780202
Apology,0.0,0.088727566,0.009089543554953563
Aside,0.0,1.429108687,0.24019279125000043
Attack_Citation,0.0,0.01752746,0.0002599610789473684
Authoritative_Citation,0.0,0.070814365,0.002017417222910215
Autobio,0.0,2.33366435,0.42727248250541844
Biographical_Time,0.0,0.824780059,0.2736501225154798
Cause,0.0,0.738688827,0.15995114953018566
